iter	Logloss
0	0.6731192809
1	0.6552931564
2	0.6389589692
3	0.6252126965
4	0.6141533085
5	0.6032014854
6	0.5940251135
7	0.5874241145
8	0.5807334617
9	0.5744154488
10	0.5696963194
11	0.5655658756
12	0.561256227
13	0.5568663875
14	0.5535004133
15	0.5503605979
16	0.5468060431
17	0.5441397337
18	0.5421877118
19	0.5396144579
20	0.5372027832
21	0.5350979204
22	0.5327503846
23	0.53158868
24	0.530007909
25	0.5286122457
26	0.5269248853
27	0.5258020811
28	0.524635064
29	0.5233637815
30	0.5225459848
31	0.5209925806
32	0.5201845844
33	0.5185826298
34	0.5174332005
35	0.5165329731
36	0.5152942663
37	0.5144094247
38	0.5137569293
39	0.5130591128
40	0.5125917718
41	0.5121408944
42	0.5112186028
43	0.5105558561
44	0.509735589
45	0.5089685938
46	0.5082685248
47	0.5078368621
48	0.5073084839
49	0.5066769084
50	0.5061232295
51	0.5055491861
52	0.5050816293
53	0.5045834738
54	0.5041602451
55	0.5039465346
56	0.5033289851
57	0.5027343443
58	0.5020077777
59	0.501471172
60	0.5011210328
61	0.5009294675
62	0.4996894409
63	0.4989481936
64	0.4982430557
65	0.4975725559
66	0.4970402644
67	0.496290416
68	0.4958297087
69	0.4955206374
70	0.4947467214
71	0.4946512294
72	0.4941110185
73	0.493388682
74	0.49307989
75	0.4927948166
76	0.4923563005
77	0.4921455216
78	0.4918082125
79	0.4912586297
80	0.4909661085
81	0.4906607384
82	0.4899464861
83	0.48960777
84	0.4891172838
85	0.4882154825
86	0.4874642802
87	0.4872049771
88	0.4867335642
89	0.4865003328
90	0.4854527059
91	0.4851232293
92	0.4845403143
93	0.4843379763
94	0.4839000235
95	0.4836483024
96	0.4833022482
97	0.4829594552
98	0.4823949192
99	0.4821851838
