iter	Passed	Remaining
0	1	175
1	3	160
2	5	162
3	7	173
4	8	166
5	10	159
6	11	153
7	12	148
8	14	145
9	15	141
10	17	139
11	18	135
12	19	131
13	21	129
14	22	127
15	23	124
16	24	121
17	26	119
18	28	119
19	29	117
20	30	115
21	31	113
22	33	111
23	35	111
24	36	109
25	37	107
26	39	105
27	40	104
28	42	104
29	43	102
30	45	101
31	47	100
32	48	99
33	50	97
34	51	96
35	53	95
36	55	93
37	56	92
38	57	90
39	61	92
40	63	91
41	64	89
42	66	88
43	68	86
44	69	85
45	71	83
46	72	81
47	75	81
48	77	80
49	78	78
50	80	77
51	81	75
52	83	73
53	84	72
54	86	70
55	87	68
56	88	66
57	90	65
58	92	64
59	93	62
60	95	60
61	96	59
62	98	57
63	100	56
64	102	55
65	103	53
66	105	51
67	106	49
68	107	48
69	108	46
70	110	44
71	111	43
72	112	41
73	114	40
74	115	38
75	116	36
76	118	35
77	120	33
78	121	32
79	122	30
80	123	28
81	125	27
82	126	25
83	127	24
84	129	22
85	131	21
86	132	19
87	134	18
88	135	16
89	137	15
90	138	13
91	140	12
92	141	10
93	142	9
94	143	7
95	145	6
96	146	4
97	147	3
98	148	1
99	150	0
